category,title,href,push_count,author,price,date
賣/,已售出  全新 Surface Pro 3,/bbs/nb-shopping/M.1492576228.A.97F.html,,rkune,20000,2017-04-19 12:30:25
賣/,(已售出)Surface pro 3 + pro 4鍵盤 + pro 3,/bbs/nb-shopping/M.1491816036.A.132.html,,dx7880860127,16000,2017-04-10 17:20:34
賣/,Surface Pro 3 (電池故障)已賣出,/bbs/nb-shopping/M.1491721322.A.E56.html,,bugz,8000,0201-04-09 15:01:59
徵/,surface pro 3 觸控筆 ,/bbs/nb-shopping/M.1490707449.A.92D.html,,focxino,1000,2017-03-28 21:24:06
賣/,Surface Pro 3 i5/4g/128g,/bbs/nb-shopping/M.1490683121.A.1B1.html,,PandaMaster,12500,2017-03-28 14:38:39
賣/,Surface Pro 3 i5/4g/128g,/bbs/nb-shopping/M.1490524764.A.307.html,,PandaMaster,13000,2017-03-26 18:39:21
賣/,Surface Pro 3 i5/4G/128G ,/bbs/nb-shopping/M.1490296006.A.2FB.html,,pojan,15000,2017-03-24 03:06:43
賣/,Surface pro 3 i5/4G/128G ,/bbs/nb-shopping/M.1490121002.A.292.html,,pojan,15000,2017-03-22 02:29:59
徵/,surface pro 3 /8G RAM,/bbs/nb-shopping/M.1489509225.A.F31.html,,crli,15000,2017-03-15 00:33:37
賣/,urface Pro 3 i5 已售,/bbs/nb-shopping/M.1489197010.A.106.html,,a040808,12900,2017-03-11 09:50:08
賣/,Surface Pro 3 i5 128G（售出）,/bbs/nb-shopping/M.1489152609.A.CC8.html,,lilaclover,16000,2017-03-10 21:30:07
賣/,urface Pro 3 i5/4g/128g降,/bbs/nb-shopping/M.1489107804.A.F57.html,,a040808,13200,2017-03-10 09:03:21
賣/,Surface Pro 3 i5 128G,/bbs/nb-shopping/M.1489070178.A.842.html,,lilaclover,16000,2017-03-09 22:36:15
賣/,Surface Pro 3 8G 256 Pro 4 觸控筆 ,/bbs/nb-shopping/M.1488983091.A.364.html,,Arts,21500,2017-03-08 22:24:46
賣/,urface Pro 3 i5/4g/128g ,/bbs/nb-shopping/M.1488939047.A.77A.html,,a040808,14000,2017-03-08 10:10:44
賣/,Surface Pro 3 i5 128G,/bbs/nb-shopping/M.1488926516.A.274.html,,lilaclover,16000,2017-03-08 06:41:53
賣/,urface Pro 3 I5 128g (已售出),/bbs/nb-shopping/M.1488884448.A.19D.html,,speedythief,13000,2017-03-07 19:00:45
賣/,Surface Pro 3 i5/128G ,/bbs/nb-shopping/M.1488845942.A.ADE.html,,lilaclover,16000,2017-03-07 08:19:00
賣/,urface Pro 3 i5/4g/128G,/bbs/nb-shopping/M.1488803638.A.03F.html,,a040808,14000,2017-03-06 20:33:56
賣/,Surface Pro 3 i5 128G 保內,/bbs/nb-shopping/M.1488717403.A.41B.html,,lilaclover,16000,2017-03-05 20:36:41
賣/,surface pro 3 i5 128G,/bbs/nb-shopping/M.1488620001.A.733.html,,lilaclover,16000,2017-03-04 17:33:19
賣/,Surface Pro 3 i5/128G 保內,/bbs/nb-shopping/M.1488584097.A.E98.html,,lilaclover,18000,2017-03-04 07:34:54
賣/,Surface Pro 3 i5/128G 保內,/bbs/nb-shopping/M.1488500267.A.9C5.html,,lilaclover,18000,2017-03-03 08:17:45
賣/,Surface Pro 3 i5 4G 128G ,/bbs/nb-shopping/M.1488470909.A.C30.html,,ysin79,12000,0201-03-03 00:08:27
賣/,Surface Pro 3 i5/128G 保內,/bbs/nb-shopping/M.1488416654.A.DB9.html,,lilaclover,18000,2017-03-02 09:04:11
賣/,urface Pro 3 i5/128 保內 ,/bbs/nb-shopping/M.1488328198.A.854.html,,lilaclover,18000,2017-03-01 08:29:56
賣/,Surface Pro 3 i5/128G 保內,/bbs/nb-shopping/M.1488038937.A.4D4.html,,lilaclover,20000,2017-02-26 00:08:54
賣/,Surface Pro 3 保內,/bbs/nb-shopping/M.1487900735.A.F4C.html,,lilaclover,20000,2017-02-24 09:45:33
徵/,surface pro 3貼換surface pro 4 ,/bbs/nb-shopping/M.1487387200.A.EAC.html,,a040808,30005000,2017-02-18 11:06:38
賣/,(售出)Surface Pro 3 i5 128GB ,/bbs/nb-shopping/M.1487160003.A.42D.html,,HeyIC,15500,0201-02-15 20:00:01
賣/,surface pro 3 i5/4g/128g,/bbs/nb-shopping/M.1487113740.A.44A.html,,BOCZeratul,16000,2017-02-15 07:08:58
賣/,surface pro 3/i7/8g/512g,/bbs/nb-shopping/M.1487076806.A.F48.html,,jay0000,27000,2017-02-14 20:53:24
賣/,urface pro 3 i5/4g/128 ,/bbs/nb-shopping/M.1487007774.A.0FD.html,,wayne311,16000,2017-02-14 01:42:51
賣/,Surface Pro 3 i5 128GB(已賣出),/bbs/nb-shopping/M.1486963604.A.F07.html,,redick,15000,2017-02-13 13:26:39
賣/,Surface pro 3(已售出)/pro 4(已降價),/bbs/nb-shopping/M.1486912755.A.93C.html,,anthomylin,26000,2017-02-12 23:19:13
徵/,Surface Pro 3 i5 4G/128G,/bbs/nb-shopping/M.1486905779.A.018.html,,k829173564,1500016000,2017-02-12 21:22:56
徵/,Surface Pro 3 i5 8G/256G ,/bbs/nb-shopping/M.1486825642.A.659.html,,k829173564,2100023000,2017-02-11 23:07:20
賣/,urface pro 3/i5/8g/256g/紅/售出,/bbs/nb-shopping/M.1486782160.A.350.html,,gerry6411,27500,2017-02-11 11:02:36
賣/,Surface Pro 3 i5/4G/128G,/bbs/nb-shopping/M.1486563483.A.55A.html,,Kans9527,13500,2017-02-08 22:17:58
